popularity,followers,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
95,76904299,0.834,0.454,-9.75,0,0.201,0.321,6.15E-06,0.114,0.837,81.618
95,76904299,0.527,0.689,-7.87,1,0.741,0.161,0,0.498,0.31,170.538
95,76904299,0.903,0.439,-11.813,1,0.397,0.0407,0,0.138,0.532,139.112
95,76904299,0.727,0.599,-6.941,1,0.327,0.317,0,0.219,0.386,167.909
95,76904299,0.787,0.477,-7.837,0,0.199,0.768,0,0.104,0.476,80.506
95,67326139,0.505,0.68,-4.993,1,0.0714,0.0796,0,0.0465,0.539,168.022
95,76904299,0.789,0.488,-9.093,0,0.227,0.179,7.94E-06,0.104,0.0644,133.114
95,67326139,0.711,0.807,-5.052,0,0.0608,0.052,0,0.214,0.698,116.971
95,76904299,0.852,0.553,-7.286,1,0.187,0.0559,0,0.332,0.656,142.079
95,76904299,0.511,0.735,-6.026,1,0.239,0.352,0,0.196,0.379,110.965
95,76904299,0.688,0.384,-8.824,0,0.375,0.2,0,0.708,0.432,162.098
95,76904299,0.849,0.424,-9.579,0,0.324,0.0635,0,0.0834,0.153,145.887
95,67326139,0.245,0.394,-9.887,0,0.0374,0.423,2.9E-05,0.093,0.148,115.233
95,76904299,0.925,0.443,-8.216,1,0.264,0.0172,0,0.276,0.35,136.078
95,76904299,0.777,0.414,-7.44,0,0.0946,0.00421,2.73E-05,0.0724,0.287,100.002
95,76904299,0.51,0.358,-10.847,1,0.0467,0.125,3.74E-05,0.111,0.171,136.036
95,76904299,0.833,0.498,-5.196,0,0.117,0.0493,0,0.119,0.259,139.928
95,76904299,0.792,0.625,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967
95,67326139,0.516,0.792,-5.38,0,0.216,0.0235,0,0.404,0.524,121.189
95,76904299,0.745,0.822,-6.354,1,0.252,0.0103,4.2E-06,0.155,0.415,86.733
95,76904299,0.823,0.467,-10.394,0,0.301,0.543,1.06E-06,0.135,0.618,95.026
95,76904299,0.609,0.229,-12.36,0,0.0333,0.558,0.0413,0.113,0.19,111.887
95,76904299,0.875,0.6,-6.818,1,0.0435,0.0189,0.0143,0.132,0.0906,119.987
95,76904299,0.889,0.496,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003
95,76904299,0.835,0.626,-5.833,1,0.125,0.0589,6E-05,0.396,0.35,91.03
95,76904299,0.423,0.667,-7.012,0,0.326,0.758,0,0.246,0.496,86.743
95,76904299,0.536,0.449,-10.499,1,0.103,0.11,1.49E-05,0.284,0.171,99.889
95,76904299,0.779,0.572,-9.985,0,0.378,0.157,0,0.246,0.647,135.956
95,67326139,0.664,0.572,-6.099,0,0.0305,0.0811,0.00604,0.121,0.143,108.959
