Id,Name,Followers,Popularity
2fMqTqiTxUDlmcOEPaQSsx,Amitabh Bhattacharya,87849,80
6LEG9Ld1aLImEFEVHdWNSB,AP Dhillon,3679371,76
4xGIy4hVil8DTVPnu5Auzs,Aflacko,57449,54
2aZtzjAzD8fq3OhZ9egqda,Alacranes Musical,757516,58
3ZztVuWxHzNpl0THurTFCv,Architects,817721,63
0A0oFtNpb7CV86uWlxjnQo,Los Avila,92723,57
3zzeZVLuOeetfimOd4k8rE,Fito Olivares y Su Grupo,56440,58
1z6xb7fWEynx9m92JVA8ZR,Annapantsu,249730,58
0bAsR2unSRpn6BQPEnNlZm,Aimer,2238834,69
1ZjAT2nTrzDIXFfsQ2hWJk,Adelitas Way,341876,58
6sFHvCyqklnJpXC9Nh1aag,Alexander 23,374024,62
5FAAR1LqXQp0HbgVfQ8ZWE,Javier Rosas Y Su Artillería Pesada,961041,62
5m8H6zSadhu1j9Yi04VLqD,Sly & The Family Stone,957407,59
3mJzTRR6NlyNWYkZ946WgC,Austin Tolliver,19026,54
73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike,3358323,69
3AVfmawzu83sp94QW7CEGm,Astrid S,1292993,67
467o5z7PYxbXFAGA0mvhAQ,Arrows in Action,73233,55
0e5Rda7VQAY786739xp0Jt,Rare Americans,229436,57
0veZkZPeWoJQ9gt6VAXlkN,Alfonso Herrera,4629,68
77qukKzmdI5BeMBR7WGUrN,Aaron Smith,285016,66
7xklw3WodFZiNNmQt3DIgp,Angels & Airwaves,665345,56
3gfeKrOBLlmoaUXfGJzmS5,Austin Farwell,82197,62
2VAnyOxzJuSAj7XIuEOT38,AlunaGeorge,434189,62
2TzHIUhVpeeDxyJPpQfnV3,Katrina & The Waves,81775,63
2tfWguHr2nj4e8KXLKciVq,André Previn,33512,62
3TaUSUXn41GixL7zbvrIDt,A-Trak,127813,61
6TKOZZDd5uV5KnyC5G4MUt,Smokey Robinson & The Miracles,1120996,57
0fTav4sBLmYOAzKuJw0grL,Mac Ayres,554425,58
6BMQo3hxi4qwLiZpHKK5iL,A.B. Quintanilla III Y Los Kumbia Kings,65152,62
5xKVALj2MSqOHmQhburCM8,Tanner Adell,16638,54
2mQLwfvZtvtTbipKn3xHmK,Erick the Architect,136976,60
4XQI4hyuy5xun1ou3SM8Oe,Aidan Bissett,119262,57
4NsVVzuaZGk4aya8Pyacew,Adam Doleac,59819,54
4DWX7u8BV0vZIQSpJQQDWU,Alter Bridge,1051624,62
7vlM4bn4gPubcmntK8UBp0,Arc System Works,24533,58
3pulcT2wt7FEG10lQlqDJL,Amon Amarth,1010937,61
4kIwETcbpuFgRukE8o7Opx,Arlo Parks,524578,62
